date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
20100101,54,48,50,42,31,57,55,68,1e-16,0.12,2.16
20100102,52,48,49,42,29,55,55,69,0.0,0.12,1.67
20100103,51,49,46,42,31,55,55,69,0.0,0.13,1.33
20100104,50,49,46,42,29,54,55,66,0.0,0.13,5.59
20100105,52,49,42,42,26,61,55,66,0.0,0.13,1.98
20100106,50,49,46,42,29,54,55,66,0.0,0.13,2.34
20100107,52,49,50,42,31,53,55,66,0.0,0.13,0.87
20100108,51,49,47,42,30,54,55,70,1e-16,0.14,3.12
20100109,49,49,44,42,33,54,55,71,0.0,0.14,1.31
20100110,49,49,45,42,29,52,55,68,0.0,0.14,1.82
20100111,52,49,47,43,30,56,55,69,0.0,0.14,1.3
20100112,58,49,53,43,32,62,55,70,0.35,0.14,1.56
20100113,56,49,51,43,29,60,56,72,0.01,0.14,1.97
20100114,52,49,45,43,31,59,56,72,0.0,0.15,2.21
20100115,50,49,46,43,31,54,56,73,0.0,0.15,1.03
20100116,52,49,46,43,31,57,56,73,1e-16,0.15,1.84
20100117,54,49,51,43,32,56,56,70,0.1,0.15,1.06
20100118,55,49,51,43,30,58,56,68,0.69,0.15,1.82
20100119,54,49,50,43,35,58,56,68,1.52,0.15,1.52
20100120,52,49,49,43,30,55,56,67,1.18,0.15,2.49
20100121,47,50,43,43,30,51,56,68,0.99,0.15,4.07
20100122,47,50,44,43,32,49,56,71,0.29,0.15,1.55
20100123,50,50,45,43,31,54,56,71,0.24,0.15,1.3
20100124,49,50,43,43,31,54,57,72,0.02,0.15,1.72
20100125,54,50,50,44,31,57,57,68,0.28,0.15,2.54
20100126,50,50,47,44,30,53,57,66,0.13,0.16,1.52
20100127,49,50,43,44,31,54,57,68,0.0,0.16,1.65
20100128,51,50,46,44,33,56,57,69,0.0,0.15,1.04
20100129,53,51,46,44,31,60,57,66,0.17,0.15,1.57
20100130,51,51,44,44,30,58,57,71,0.0,0.15,1.91
20100131,51,51,47,44,32,55,58,74,0.0,0.15,1.99
20100201,53,51,47,44,30,58,58,73,0.0,0.15,1.06
20100202,52,51,47,44,32,56,58,73,1e-16,0.15,2.92
20100203,52,51,44,45,32,60,58,76,0.0,0.15,1.02
20100204,55,51,50,45,32,59,58,75,0.39,0.15,1.3
20100205,55,52,47,45,31,62,58,73,1e-16,0.15,1.26
20100206,54,52,50,45,31,57,58,75,0.19,0.15,1.66
20100207,54,52,50,45,32,57,59,73,1e-16,0.15,1.24
20100208,52,52,48,45,33,55,59,74,0.05,0.15,1.52
20100209,52,52,47,45,36,56,59,74,0.2,0.15,2.03
20100210,52,52,46,45,35,57,59,71,0.0,0.15,1.47
