date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900413,38,None,30,None,20,46,None,86,0.0,None,1.97
19900414,44,None,34,None,26,55,None,81,0.0,None,1.63
19900415,48,None,42,None,28,53,None,82,1.04,None,2.05
19900416,56,None,48,None,28,64,None,87,0.0,None,2.5
19900417,49,None,42,None,26,55,None,93,0.2,None,2.47
19900418,42,None,35,None,26,48,None,94,0.0,None,1.9
19900419,45,None,35,None,22,55,None,87,0.0,None,1.65
19900420,50,None,42,None,21,59,None,89,0.0,None,0.87
19900421,52,None,50,None,21,55,None,88,0.48,None,3.32
19900422,50,None,46,None,26,54,None,88,0.0,None,2.3
19900423,52,None,46,None,29,57,None,86,0.0,None,1.48
19900424,46,None,42,None,28,51,None,84,0.0,None,1.95
19900425,48,None,45,None,27,51,None,83,0.84,None,2.1
19900426,53,None,46,None,28,60,None,87,0.0,None,1.6
19900427,70,None,50,None,33,91,None,92,0.0,None,1.5
19900428,69,None,46,None,30,90,None,93,0.02,None,2.97
19900429,44,None,43,None,31,46,None,85,0.02,None,1.52
19900430,46,None,44,None,31,48,None,86,0.94,None,1.44
19900501,51,None,45,None,33,57,None,89,0.03,None,1.82
19900502,58,None,50,None,33,66,None,91,0.0,None,1.14
19900503,52,None,46,None,31,57,None,92,0.0,None,2.4
19900504,55,None,46,None,33,64,None,90,0.03,None,2.71
19900505,44,None,42,None,35,46,None,89,0.66,None,2.06
19900506,52,None,42,None,33,61,None,90,0.0,None,1.0
19900507,52,None,48,None,37,57,None,95,0.01,None,1.5
19900508,50,None,46,None,34,55,None,87,0.0,None,1.42
19900509,64,None,48,None,35,80,None,95,0.0,None,2.5
19900510,66,None,57,None,34,75,None,94,0.56,None,1.43
19900511,56,None,48,None,33,64,None,91,0.03,None,1.42
19900512,56,None,45,None,33,66,None,88,0.0,None,1.42
19900513,57,None,48,None,38,66,None,87,0.3,None,3.84
19900514,59,None,50,None,37,68,None,86,0.44,None,3.77
19900515,66,None,54,None,36,77,None,93,0.0,None,1.73
19900516,56,None,51,None,34,62,None,93,0.71,None,4.47
19900517,50,None,48,None,39,53,None,92,0.6,None,1.88
19900518,50,None,45,None,37,55,None,95,0.12,None,1.72
19900519,56,None,51,None,38,60,None,90,0.0,None,1.55
19900520,49,None,45,None,40,53,None,91,0.12,None,1.23
19900521,44,None,42,None,41,45,None,93,0.21,None,2.24
19900522,46,None,42,None,39,51,None,93,0.0,None,3.23
19900523,46,None,44,None,40,48,None,93,0.0,None,1.09
19900524,48,None,44,None,36,53,None,93,0.0,None,1.73
19900525,54,None,46,None,40,63,None,92,0.0,None,2.63
19900526,58,None,50,None,39,66,None,97,0.26,None,1.36
19900527,56,None,48,None,39,64,None,96,0.0,None,1.48
19900528,63,None,53,None,43,73,None,92,0.0,None,2.39
19900529,54,None,52,None,39,57,None,94,1.38,None,1.63
19900530,58,None,51,None,35,66,None,96,0.62,None,1.52
19900531,62,None,50,None,39,73,None,96,0.0,None,4.12
19900601,71,None,60,None,41,82,None,96,0.0,None,1.94
19900602,74,None,61,None,42,87,None,96,0.0,None,2.19
19900603,71,None,64,None,44,78,None,98,0.0,None,1.91
19900604,68,None,57,None,44,77,None,96,0.06,None,2.46
19900605,60,None,51,None,45,70,None,96,0.0,None,2.94
19900606,60,None,50,None,45,70,None,100,0.0,None,4.0
19900607,70,None,57,None,45,82,None,97,0.07,None,3.07
19900608,66,None,60,None,42,72,None,97,0.04,None,1.11
19900609,64,None,57,None,47,70,None,96,0.03,None,3.07
19900610,60,None,54,None,45,64,None,96,0.0,None,4.36
19900611,55,None,53,None,46,57,None,98,0.31,None,1.38
19900612,57,None,51,None,46,63,None,96,0.0,None,1.96
19900613,64,None,54,None,46,73,None,98,0.0,None,5.69
19900614,57,None,52,None,46,62,None,96,0.0,None,1.17
19900615,60,None,55,None,42,66,None,98,0.0,None,2.45
19900616,62,None,57,None,48,66,None,96,0.0,None,2.37
19900617,70,None,57,None,48,82,None,95,0.0,None,2.26
19900618,72,None,63,None,47,82,None,94,0.0,None,0.83
19900619,72,None,64,None,47,80,None,96,0.0,None,3.32
19900620,64,None,59,None,47,68,None,98,0.0,None,2.4
19900621,60,None,57,None,48,62,None,96,0.02,None,2.36
19900622,72,None,57,None,46,86,None,97,0.0,None,1.82
19900623,72,None,66,None,47,79,None,96,0.06,None,1.36
19900624,74,None,64,None,46,84,None,95,0.0,None,2.07
19900625,72,None,64,None,48,80,None,97,0.0,None,2.23
19900626,74,None,63,None,52,84,None,100,0.0,None,1.43
19900627,75,None,66,None,52,84,None,96,0.06,None,1.73
19900628,74,None,66,None,52,82,None,97,0.0,None,1.43
19900629,66,None,60,None,49,71,None,99,0.06,None,2.47
19900630,59,None,55,None,52,63,None,95,0.02,None,2.04
19900701,65,None,59,None,50,71,None,98,0.23,None,4.45
19900702,62,None,57,None,51,68,None,98,0.0,None,1.38
19900703,73,None,60,None,51,86,None,102,0.0,None,2.03
19900704,81,None,71,None,53,91,None,104,0.0,None,1.88
19900705,82,None,72,None,52,88,None,101,0.0,None,1.04
19900706,67,None,63,None,50,71,None,101,0.0,None,2.04
19900707,69,None,59,None,52,79,None,99,0.0,None,1.16
19900708,72,None,63,None,55,82,None,99,0.0,None,1.87
19900709,77,None,66,None,53,88,None,99,0.02,None,6.04
19900710,80,None,73,None,53,88,None,101,0.0,None,2.39
19900711,70,None,66,None,54,73,None,100,0.0,None,2.36
19900712,62,None,59,None,54,66,None,97,0.65,None,1.33
19900713,65,None,59,None,56,71,None,97,0.14,None,3.36
19900714,71,None,61,None,55,81,None,100,0.0,None,2.05
19900715,77,None,66,None,54,88,None,98,1.48,None,1.35
19900716,82,None,73,None,54,90,None,99,0.0,None,0.97
19900717,80,None,72,None,54,89,None,98,0.0,None,2.68
19900718,82,None,73,None,54,91,None,98,0.0,None,2.52
19900719,82,None,73,None,54,91,None,99,0.0,None,1.68
19900720,82,None,70,None,54,93,None,99,0.29,None,1.78
19900721,78,None,71,None,52,84,None,102,0.0,None,2.33
19900722,72,None,64,None,55,79,None,103,0.02,None,1.2
19900723,76,None,64,None,54,87,None,100,0.0,None,2.13
19900724,74,None,72,None,54,77,None,98,0.79,None,2.4
19900725,68,None,66,None,53,71,None,96,1.92,None,1.92
19900726,70,None,66,None,56,75,None,96,0.0,None,1.24
19900727,68,None,64,None,52,73,None,98,0.0,None,1.75
19900728,68,None,63,None,54,71,None,99,0.01,None,3.49
19900729,68,None,63,None,55,73,None,97,0.03,None,1.81
19900730,68,None,63,None,52,72,None,98,0.0,None,2.3
19900731,70,None,64,None,54,77,None,98,0.0,None,1.85
19900801,76,None,69,None,54,82,None,98,0.0,None,3.58
19900802,75,None,64,None,54,86,None,102,0.0,None,1.97
19900803,80,None,70,None,55,91,None,98,0.0,None,1.89
19900804,78,None,72,None,52,84,None,96,0.0,None,2.28
19900805,76,None,69,None,54,84,None,100,0.0,None,2.49
19900806,74,None,69,None,52,79,None,97,0.1,None,2.6
19900807,74,None,68,None,55,81,None,98,0.1,None,1.73
19900808,73,None,71,None,52,75,None,96,0.65,None,1.94
19900809,72,None,69,None,53,75,None,99,0.01,None,3.27
19900810,72,None,70,None,53,75,None,101,0.01,None,2.97
19900811,70,None,69,None,54,73,None,99,2.8,None,2.8
19900812,79,None,70,None,53,88,None,101,0.0,None,2.29
19900813,78,None,69,None,53,86,None,100,0.0,None,2.13
19900814,75,None,70,None,52,80,None,101,0.0,None,2.96
19900815,74,None,66,None,52,81,None,98,0.0,None,1.9
19900816,74,None,66,None,47,82,None,97,0.0,None,1.77
19900817,78,None,69,None,51,88,None,97,0.0,None,1.92
19900818,80,None,71,None,53,90,None,95,0.0,None,4.88
19900819,67,None,57,None,51,77,None,92,0.34,None,7.06
19900820,60,None,55,None,52,66,None,98,0.0,None,2.1
19900821,65,None,62,None,52,68,None,97,0.09,None,1.72
19900822,64,None,59,None,47,70,None,93,0.0,None,3.36
19900823,62,None,57,None,49,66,None,96,0.34,None,1.55
19900824,66,None,63,None,50,70,None,96,0.18,None,1.45
19900825,67,None,64,None,46,70,None,96,1.63,None,2.76
19900826,73,None,64,None,50,82,None,99,0.09,None,4.15
19900827,76,None,70,None,47,82,None,100,0.0,None,2.19
19900828,78,None,70,None,47,87,None,99,0.0,None,1.31
19900829,80,None,73,None,47,86,None,98,0.0,None,1.69
19900830,70,None,66,None,48,75,None,99,0.0,None,3.65
19900831,70,None,62,None,47,77,None,97,0.02,None,2.58
19900901,71,None,63,None,50,79,None,96,0.0,None,2.11
19900902,76,None,66,None,49,87,None,100,0.0,None,2.71
19900903,68,None,64,None,47,73,None,97,0.01,None,3.15
19900904,62,None,57,None,43,66,None,94,0.0,None,1.73
19900905,68,None,57,None,48,79,None,93,0.0,None,1.06
19900906,71,None,64,None,43,78,None,97,0.0,None,2.1
19900907,74,None,66,None,43,80,None,102,0.01,None,1.7
19900908,58,None,52,None,48,64,None,96,0.0,None,1.65
19900909,57,None,48,None,45,66,None,93,0.0,None,2.19
19900910,67,None,63,None,41,71,None,95,0.16,None,4.71
