date,temperature,temperature_normal,min_temperature,min_temperature_normal,min_temperature_record,max_temperature,max_temperature_normal,max_temperature_record,precip,precipnormal,preciprecord
19900414,52,None,41,None,24,64,None,91,0.02,None,3.04
19900415,60,None,53,None,28,68,None,89,0.84,None,2.41
19900416,58,None,48,None,29,69,None,92,0.0,None,2.09
19900417,58,None,45,None,26,71,None,95,0.12,None,2.74
19900418,46,None,37,None,25,55,None,95,0.0,None,1.4
19900419,50,None,37,None,22,63,None,93,0.0,None,1.75
19900420,57,None,50,None,28,64,None,94,0.0,None,1.71
19900421,60,None,57,None,31,64,None,89,0.17,None,1.58
19900422,60,None,48,None,30,72,None,93,0.0,None,1.47
19900423,66,None,50,None,33,82,None,95,0.0,None,1.38
19900424,67,None,53,None,34,81,None,94,0.0,None,1.23
19900425,68,None,52,None,32,84,None,93,0.0,None,1.5
19900426,78,None,64,None,34,91,None,94,0.0,None,3.21
19900427,78,None,64,None,38,91,None,95,0.05,None,1.64
19900428,75,None,66,None,33,84,None,92,0.0,None,1.4
19900429,65,None,57,None,30,73,None,91,0.78,None,2.05
19900430,62,None,57,None,34,66,None,92,0.1,None,2.7
19900501,67,None,55,None,34,79,None,96,0.0,None,1.42
19900502,64,None,59,None,35,69,None,91,0.0,None,1.36
19900503,62,None,57,None,36,66,None,91,0.0,None,2.41
19900504,58,None,55,None,39,60,None,93,0.14,None,1.77
19900505,64,None,54,None,39,73,None,94,0.71,None,3.24
19900506,60,None,51,None,37,68,None,93,0.0,None,1.27
19900507,62,None,51,None,38,73,None,95,0.0,None,2.35
19900508,68,None,55,None,39,80,None,92,0.0,None,2.14
19900509,69,None,59,None,34,79,None,96,0.02,None,2.22
19900510,66,None,60,None,35,71,None,95,1.47,None,1.38
19900511,60,None,48,None,33,71,None,94,0.0,None,2.63
19900512,54,None,48,None,37,61,None,93,0.0,None,2.11
19900513,65,None,57,None,39,73,None,95,0.34,None,2.81
19900514,65,None,55,None,41,75,None,93,0.0,None,1.49
19900515,64,None,55,None,40,73,None,94,0.0,None,1.28
19900516,72,None,63,None,38,82,None,93,0.0,None,2.25
19900517,76,None,69,None,40,84,None,92,0.0,None,1.24
19900518,70,None,61,None,40,78,None,96,0.0,None,1.38
19900519,68,None,55,None,43,80,None,96,0.0,None,3.15
19900520,74,None,68,None,42,79,None,96,0.0,None,2.63
19900521,64,None,57,None,41,70,None,95,0.12,None,1.79
19900522,55,None,51,None,39,59,None,96,0.08,None,2.2
19900523,60,None,48,None,45,71,None,97,0.0,None,2.34
19900524,64,None,54,None,41,73,None,92,0.0,None,1.97
19900525,66,None,55,None,42,77,None,94,0.07,None,2.17
19900526,66,None,60,None,42,72,None,96,0.71,None,1.65
19900527,62,None,57,None,42,68,None,95,0.0,None,1.5
19900528,62,None,57,None,42,66,None,97,0.06,None,1.56
19900529,56,None,52,None,41,61,None,97,1.39,None,1.38
19900530,62,None,54,None,44,71,None,98,0.02,None,1.68
19900531,62,None,52,None,44,73,None,99,0.0,None,2.25
19900601,67,None,55,None,45,79,None,98,0.0,None,2.49
19900602,73,None,64,None,43,82,None,97,0.0,None,3.48
19900603,76,None,69,None,45,82,None,99,0.08,None,1.97
19900604,69,None,59,None,46,78,None,99,0.0,None,1.49
19900605,61,None,50,None,48,72,None,100,0.0,None,1.58
19900606,70,None,57,None,46,82,None,97,0.0,None,1.61
19900607,76,None,71,None,47,82,None,98,0.0,None,3.47
19900608,77,None,68,None,49,86,None,99,0.0,None,2.84
19900609,81,None,71,None,45,91,None,102,2.13,None,2.19
19900610,76,None,69,None,46,82,None,100,0.0,None,2.77
19900611,68,None,63,None,45,73,None,101,0.0,None,2.08
19900612,69,None,57,None,50,81,None,95,0.0,None,2.23
19900613,69,None,59,None,51,79,None,96,0.0,None,2.04
19900614,76,None,64,None,49,89,None,98,0.0,None,2.69
19900615,68,None,62,None,47,75,None,101,0.21,None,2.28
19900616,74,None,63,None,50,84,None,99,0.0,None,1.64
19900617,76,None,68,None,50,84,None,97,0.0,None,2.22
19900618,78,None,68,None,51,87,None,97,0.1,None,1.87
19900619,76,None,69,None,51,84,None,99,0.27,None,2.01
19900620,72,None,63,None,54,82,None,99,0.0,None,2.37
19900621,82,None,73,None,51,90,None,99,0.0,None,6.11
19900622,78,None,69,None,51,87,None,101,0.06,None,4.16
19900623,78,None,72,None,51,84,None,98,0.03,None,1.34
19900624,74,None,66,None,46,81,None,100,0.01,None,1.66
19900625,72,None,63,None,53,81,None,100,0.0,None,5.19
19900626,78,None,68,None,56,88,None,101,0.0,None,4.22
19900627,80,None,71,None,57,88,None,99,0.0,None,2.75
19900628,80,None,71,None,54,90,None,100,0.0,None,2.95
19900629,84,None,73,None,54,96,None,104,0.13,None,2.05
19900630,84,None,75,None,50,93,None,100,0.0,None,1.65
19900701,79,None,70,None,54,88,None,102,0.5,None,2.05
19900702,75,None,66,None,55,84,None,101,0.0,None,2.88
19900703,78,None,66,None,53,89,None,101,0.0,None,1.72
19900704,83,None,71,None,52,95,None,100,0.0,None,2.18
19900705,86,None,73,None,53,100,None,102,0.78,None,3.68
19900706,82,None,73,None,57,90,None,103,0.0,None,1.26
19900707,75,None,71,None,56,79,None,105,0.0,None,0.93
19900708,78,None,71,None,54,84,None,102,0.0,None,2.16
19900709,86,None,75,None,55,96,None,104,0.0,None,4.69
19900710,86,None,79,None,54,93,None,105,0.0,None,2.98
19900711,79,None,71,None,54,87,None,99,0.14,None,1.79
19900712,80,None,70,None,53,89,None,99,0.52,None,2.93
19900713,68,None,63,None,56,73,None,100,0.2,None,3.37
19900714,75,None,68,None,55,82,None,100,1.11,None,2.93
19900715,80,None,73,None,56,84,None,100,0.01,None,1.82
